"x","y",""
-88.28,17.92,129.96
-88.25,17.92,133.29
-88.22,17.92,422.19
-88.19,17.92,422.19
-88.16,17.92,NA
-88.13,17.92,NA
-88.1,17.92,NA
-88.07,17.92,NA
-88.04,17.92,NA
-88.01,17.92,33.57
-87.98,17.92,22.32
-87.95,17.92,NA
-87.92,17.92,NA
-87.89,17.92,NA
-87.86,17.92,NA
-87.83,17.92,NA
-87.8,17.92,NA
-87.77,17.92,NA
-87.74,17.92,NA
-87.71,17.92,NA
-87.68,17.92,NA
-87.65,17.92,NA
-87.62,17.92,NA
-87.59,17.92,NA
-87.56,17.92,NA
-87.53,17.92,NA
-87.5,17.92,NA
-87.47,17.92,NA
-87.44,17.92,NA
-87.41,17.92,NA
-88.97,17.89,NA
-88.94,17.89,NA
-88.91,17.89,NA
-88.88,17.89,NA
-88.85,17.89,NA
-88.82,17.89,NA
-88.79,17.89,NA
-88.76,17.89,NA
-88.73,17.89,NA
-88.7,17.89,NA
-88.67,17.89,NA
-88.64,17.89,NA
-88.61,17.89,NA
-88.58,17.89,NA
-88.55,17.89,NA
-88.52,17.89,NA
-88.49,17.89,NA
-88.46,17.89,NA
-88.43,17.89,NA
-88.4,17.89,NA
-88.37,17.89,NA
-88.34,17.89,0.72
-88.31,17.89,7.65
-88.28,17.89,259.38
-88.25,17.89,198.81
-88.22,17.89,221.04
-88.19,17.89,221.04
-88.16,17.89,NA
-88.13,17.89,NA
-88.1,17.89,NA
-88.07,17.89,9.45
-88.04,17.89,65.61
-88.01,17.89,185.4
-87.98,17.89,7.92
-87.95,17.89,NA
-87.92,17.89,NA
-87.89,17.89,NA
-87.86,17.89,NA
-87.83,17.89,NA
-87.8,17.89,NA
-87.77,17.89,NA
-87.74,17.89,NA
-87.71,17.89,NA
-87.68,17.89,NA
-87.65,17.89,NA
-87.62,17.89,NA
-87.59,17.89,NA
-87.56,17.89,NA
-87.53,17.89,NA
-87.5,17.89,NA
-87.47,17.89,NA
-87.44,17.89,NA
-87.41,17.89,NA
-88.97,17.86,NA
-88.94,17.86,NA
-88.91,17.86,NA
-88.88,17.86,NA
-88.85,17.86,NA
-88.82,17.86,NA
-88.79,17.86,NA
-88.76,17.86,NA
-88.73,17.86,NA
-88.7,17.86,NA
-88.67,17.86,NA
-88.64,17.86,NA
-88.61,17.86,NA
-88.58,17.86,NA
-88.55,17.86,NA
-88.52,17.86,NA
-88.49,17.86,NA
-88.46,17.86,NA
-88.43,17.86,NA
-88.4,17.86,NA
-88.37,17.86,NA
-88.34,17.86,0.18
-88.31,17.86,6.93
-88.28,17.86,27.27
-88.25,17.86,69.48
-88.22,17.86,175.5
-88.19,17.86,175.5
-88.16,17.86,NA
-88.13,17.86,NA
-88.1,17.86,NA
-88.07,17.86,9.45
